algorithm,group_type,group,strict_correct,strict_total,strict_rank1_percent,matcher_correct,matcher_total,matcher_rank1_percent,no_face,unusable
ltp,transform,skew_10,3,28,10.714285714285714,3,28,10.714285714285714,0,0
ltp,transform,skew_4,3,28,10.714285714285714,3,28,10.714285714285714,0,0
ltp,transform,skew_6,3,28,10.714285714285714,3,28,10.714285714285714,0,0
ltp,transform,trans_10,4,28,14.285714285714286,4,28,14.285714285714286,0,0
ltp,transform,trans_20,1,28,3.5714285714285716,1,28,3.5714285714285716,0,0
ltp,transform,trans_30,2,28,7.142857142857143,2,25,8.0,3,0
ltp,category,Aspect ratio change,2,56,3.5714285714285716,2,56,3.5714285714285716,0,0
ltp,category,Auto-levels,4,28,14.285714285714286,4,28,14.285714285714286,0,0
ltp,category,Blur,3,84,3.5714285714285716,3,84,3.5714285714285716,0,0
ltp,category,Brightness change,15,84,17.857142857142858,15,84,17.857142857142858,0,0
ltp,category,Colour reduction,5,56,8.928571428571429,5,51,9.803921568627452,5,0
ltp,category,Colour to monochrome,3,28,10.714285714285714,3,26,11.538461538461538,2,0
ltp,category,Crop,4,84,4.761904761904762,4,84,4.761904761904762,0,0
ltp,category,Flip,1,28,3.5714285714285716,1,28,3.5714285714285716,0,0
ltp,category,Gaussian noise,10,84,11.904761904761905,10,83,12.048192771084338,1,0
ltp,category,Histogram equalization,5,28,17.857142857142858,5,28,17.857142857142858,0,0
ltp,category,JPEG compression,6,84,7.142857142857143,6,84,7.142857142857143,0,0
ltp,category,Perspective,5,84,5.9523809523809526,5,84,5.9523809523809526,0,0
ltp,category,Rotation,3,84,3.5714285714285716,3,55,5.454545454545454,29,0
ltp,category,Scaling,4,84,4.761904761904762,4,76,5.2631578947368425,8,0
ltp,category,Simple rotation,5,84,5.9523809523809526,5,73,6.8493150684931505,11,0
ltp,category,Skew,9,84,10.714285714285714,9,84,10.714285714285714,0,0
ltp,category,Translation,7,84,8.333333333333334,7,81,8.641975308641975,3,0
tan_triggs_ltp,severity,heavy,37,308,12.012987012987013,37,274,13.503649635036496,34,0
tan_triggs_ltp,severity,light,90,476,18.907563025210084,90,458,19.650655021834062,18,0
tan_triggs_ltp,severity,medium,62,364,17.032967032967033,62,357,17.366946778711483,7,0
tan_triggs_ltp,transform,aspect_16_9,7,28,25.0,7,28,25.0,0,0
tan_triggs_ltp,transform,aspect_6_3,7,28,25.0,7,28,25.0,0,0
tan_triggs_ltp,transform,autolevel,6,28,21.428571428571427,6,28,21.428571428571427,0,0
tan_triggs_ltp,transform,blur_3,6,28,21.428571428571427,6,28,21.428571428571427,0,0
tan_triggs_ltp,transform,blur_5,6,28,21.428571428571427,6,28,21.428571428571427,0,0
tan_triggs_ltp,transform,blur_7,5,28,17.857142857142858,5,28,17.857142857142858,0,0
tan_triggs_ltp,transform,brightness_p10,7,28,25.0,7,28,25.0,0,0
tan_triggs_ltp,transform,brightness_p20,7,28,25.0,7,28,25.0,0,0
tan_triggs_ltp,transform,brightness_p25,7,28,25.0,7,28,25.0,0,0
tan_triggs_ltp,transform,color_8bit,3,28,10.714285714285714,3,23,13.043478260869565,5,0
